Protection?,Fault_rate,acc_mean,acc_std,acc_median,Baseline accuracy
Protected,1e-08,80.1478,0.024842705166708428,80.15,82.6
Protected,5e-08,80.1354,0.04504264645866141,80.15,82.6
Protected,1e-07,80.1324,0.04739451445051452,80.14,82.6
Protected,5e-07,80.0908,0.10087298944712639,80.08500000000001,82.6
Protected,1e-06,80.056,0.13863621460498718,80.07499999999999,82.6
Protected,5e-06,79.6186,1.1349326147397474,79.765,82.6
Protected,1e-05,79.096,1.3756656570547952,79.38,82.6
Protected,5e-05,71.433,2.917987834107606,72.63499999999999,82.6
